,TP,FP,FN,TN,precision,recall,f1,accuracy,mcc
catchment_area_program_name,22,55,166,1606,0.285714286,0.117021277,0.166037736,0.880475933,0.126938534
need_satisfier_program_name,30,49,160,1600,0.379746835,0.157894737,0.223048327,0.886351278,0.192414013
outlier_program_name,30,48,158,1598,0.384615385,0.159574468,0.22556391,0.887677208,0.196021955
client_program_name,34,45,153,1593,0.430379747,0.181818182,0.255639098,0.891506849,0.230004585
catchment_area_client,48,31,439,1587,0.607594937,0.098562628,0.169611307,0.77672209,0.176180698
outlier_client,38,41,450,1598,0.481012658,0.077868852,0.134038801,0.769158439,0.117515576
need_satisfier_client,52,24,439,1587,0.684210526,0.105906314,0.183421517,0.779733587,0.206274278
program_name_client,51,30,436,1584,0.62962963,0.104722793,0.179577465,0.778200857,0.188790392
client_need_satisfier,58,22,616,1573,0.725,0.086053412,0.153846154,0.718818863,0.179036769
program_name_need_satisfier,59,22,616,1573,0.728395062,0.087407407,0.156084656,0.718942731,0.181396561
catchment_area_need_satisfier,51,28,623,1580,0.64556962,0.075667656,0.135458167,0.714723926,0.145372848
outlier_need_satisfier,44,36,627,1584,0.55,0.06557377,0.117177097,0.710606722,0.1074692
catchment_area_outlier,28,50,184,1601,0.358974359,0.132075472,0.193103448,0.874396135,0.16139258
need_satisfier_outlier,36,44,174,1591,0.45,0.171428571,0.248275862,0.881842818,0.225356913
program_name_outlier,35,45,176,1593,0.4375,0.165876777,0.240549828,0.880475933,0.216291121
client_outlier,27,52,182,1599,0.341772152,0.129186603,0.1875,0.874193548,0.152986703
need_satisfier_catchment_area,9,71,76,1618,0.1125,0.105882353,0.109090909,0.917136415,0.06571339
client_catchment_area,13,67,74,1616,0.1625,0.149425287,0.155688623,0.920338983,0.114073563
outlier_catchment_area,5,75,80,1622,0.0625,0.058823529,0.060606061,0.91301908,0.01505592
program_name_catchment_area,16,65,70,1612,0.197530864,0.186046512,0.191616766,0.923425978,0.151538904